material,Material Desc,operation,op_type,Op Description,factory,attempts,failures,HW Driven Failures,Sum Hours,ern Std,HPU,FPY,HW Driven Yield
2212905-1,J,5270,ASSEMBLY,ASSEMBLY,EOPC Seekers,734,6,3,726.4,,1.0,99.2%,99.6%
2212905-1,J,5280,ASSEMBLY,ASSEMBLY,EOPC Seekers,734,30,2,384.7,,0.5,95.9%,99.7%
2212905-1,J,5300,TEST,TEST,EOPC Seekers,733,8,1,304.3,0.4,0.4,98.9%,99.9%
2212905-1,J,5400,ASSEMBLY,ASSEMBLY,EOPC Seekers,748,1,,232.9,,0.3,99.9%,100.0%
2212905-1,J,5420,ASSEMBLY,ASSEMBLY,EOPC Seekers,748,1,1,365.8,,0.5,99.9%,99.9%
2212905-1,J,5425,ASSEMBLY,ASSEMBLY,EOPC Seekers,748,2,2,258.4,,0.3,99.7%,99.7%
2212905-1,J,5430,ASSEMBLY,ASSEMBLY,EOPC Seekers,728,4,2,786.8,,1.1,99.5%,99.7%
2212905-1,J,5450,ASSEMBLY,ASSEMBLY,EOPC Seekers,728,11,3,788.5,,1.1,98.5%,99.6%
2212905-1,J,5525,ASSEMBLY,ASSEMBLY,EOPC Seekers,689,0,,57.2,,0.1,100.0%,100.0%
2212905-1,J,5680,ASSEMBLY,ASSEMBLY,EOPC Seekers,728,29,7,1172,,1.6,96.0%,99.0%
2212905-1,J,5800,TEST,TEST,EOPC Seekers,728,77,26,521.7,0.5,0.7,89.4%,96.4%
2212905-1,J,5830,ASSEMBLY,ASSEMBLY,EOPC Seekers,722,6,6,664.1,,0.9,99.2%,99.2%
2212905-1,J,5860,TEST,TEST,EOPC Seekers,721,19,13,364.3,1.1,0.5,97.4%,98.2%
2212905-1,J,5870,ASSEMBLY,ASSEMBLY,EOPC Seekers,715,9,2,962.3,,1.3,98.7%,99.7%
2212905-1,J,5880,TEST,TEST,EOPC Seekers,712,12,8,224,0.4,0.3,98.3%,98.9%
